stock_code,stock_name
267270,HD건설기계
005930,삼성전자
000660,SK하이닉스
005380,현대차
373220,LG에너지솔루션
402340,SK스퀘어
207940,삼성바이오로직스
034020,두산에너빌리티
012450,한화에어로스페이스
000270,기아
329180,HD현대중공업
105560,KB금융
028260,삼성물산
068270,셀트리온
055550,신한지주
032830,삼성생명
042660,한화오션
006800,미래에셋증권
012330,현대모비스
035420,NAVER
009150,삼성전기
267260,HD현대일렉트릭
010130,고려아연
006400,삼성SDI
015760,한국전력
086790,하나금융지주
042700,한미반도체
009540,HD한국조선해양
005490,POSCO홀딩스
010120,LS ELECTRIC
034730,SK
272210,한화시스템
298040,효성중공업
010140,삼성중공업
316140,우리금융지주
035720,카카오
051910,LG화학
000810,삼성화재
267250,HD현대
011200,HMM
064350,현대로템
096770,SK이노베이션
024110,기업은행
000150,두산
066570,LG전자
138040,메리츠금융지주
000720,현대건설
047810,한국항공우주
033780,KT&G
003670,포스코퓨처엠
086280,현대글로비스
017670,SK텔레콤
030200,KT
352820,하이브
003550,LG
079550,LIG넥스원
0126Z0,삼성에피스홀딩스
047050,포스코인터내셔널
278470,에이피알
071050,한국금융지주
005830,DB손해보험
005940,NH투자증권
010950,S-Oil
018260,삼성에스디에스
039490,키움증권
323410,카카오뱅크
307950,현대오토에버
259960,크래프톤
003490,대한항공
006260,LS
007660,이수페타시스
016360,삼성증권
000880,한화
009830,한화솔루션
377300,카카오페이
180640,한진칼
003230,삼양식품
090430,아모레퍼시픽
443060,HD현대마린솔루션
000100,유한양행
047040,대우건설
326030,SK바이오팜
128940,한미약품
161390,한국타이어앤테크놀로지
011070,LG이노텍
028050,삼성E&A
029780,삼성카드
032640,LG유플러스
052690,한전기술
064400,LG씨엔에스
078930,GS
241560,두산밥캣
001040,CJ
034220,LG디스플레이
138930,BNK금융지주
175330,JB금융지주
001440,대한전선
271560,오리온
021240,코웨이
004020,현대제철
022100,포스코DX
036570,엔씨소프트
062040,산일전기
002380,KCC
088350,한화생명
066970,엘앤에프
450080,에코프로머티
251270,넷마블
018880,한온시스템
082740,한화엔진
051900,LG생활건강
035250,강원랜드
010060,OCI홀딩스
011790,SKC
111770,영원무역
011170,롯데케미칼
036460,한국가스공사
017800,현대엘리베이터
011780,금호석유화학
004990,롯데지주
012750,에스원
302440,SK바이오사이언스
014680,한솔케미칼
004170,신세계
023530,롯데쇼핑
097950,CJ제일제당
009970,영원무역홀딩스
051600,한전KPS
009420,한올바이오파마
005850,에스엘
028670,팬오션
001450,현대해상
112610,씨에스윈드
139480,이마트
139130,iM금융지주
103140,풍산
457190,이수스페셜티케미컬
071970,HD현대마린엔진
006360,GS건설
008930,한미사이언스
026960,동서
375500,DL이앤씨
000120,CJ대한통운
017960,한국카본
000240,한국앤컴퍼니
204320,HL만도
030000,제일기획
383220,F&F
001430,세아베스틸지주
081660,미스토홀딩스
007340,DN오토모티브
004370,농심
011210,현대위아
192820,코스맥스
002790,아모레퍼시픽홀딩스
282330,BGF리테일
069960,현대백화점
120110,코오롱인더
069620,대웅제약
361610,SK아이이테크놀로지
161890,한국콜마
006040,동원산업
073240,금호타이어
008770,호텔신라
006280,녹십자
007070,GS리테일
034230,파라다이스
298020,효성티앤씨
001800,오리온홀딩스
007310,오뚜기
003240,태광산업
003090,대웅
000210,DL
004000,롯데정밀화학
300720,한일시멘트
185750,종근당
000080,하이트진로
005300,롯데칠성
000670,영풍
071320,지역난방공사
192080,더블유게임즈
280360,롯데웰푸드
285130,SK케미칼
009240,한샘
298050,HS효성첨단소재
137310,에스디바이오센서
006650,대한유화
004490,세방전지
003030,세아제강지주
069260,TKG휴켐스
114090,GKL
014820,동원시스템즈
093370,후성
001680,대상
005250,녹십자홀딩스
002840,미원상사
268280,미원에스씨
008730,율촌화학
002030,아세아
005420,코스모화학
